answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Country A's economic growth rate will be higher than Country B's.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. Spending on training and education programs for workers as a percentage of gross domestic product is greater in Country A than in Country B. Which of the following is most likely to be true over the long term?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Country A's economic growth rate will be higher than Country B's.</span></span></div>
<div>B. <span class=""itemtext""><span>Country A's interest rate will be lower than Country B's.</span></span></div>
<div>C. <span class=""itemtext""><span>Country A's trade surplus will be higher than Country B's.</span></span></div>
<div>D. <span class=""itemtext""><span>Country A's minimum-wage rate will be lower than Country B's.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #1 E407201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>An increase in consumer spending</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. Which of the following changes is most likely to cause an increase in employment?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>An increase in consumer spending</span></span></div>
<div>B. <span class=""itemtext""><span>An increase in interest rates</span></span></div>
<div>C. <span class=""itemtext""><span>A decrease in business investment</span></span></div>
<div>D. <span class=""itemtext""><span>A decrease in income</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #2 E407301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>$1.00</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. <div class=""paragraph""><div class=""paragraph"">                                    MARKET FOR NOTEBOOKS</div><table class="" tbl_brdrs""><tbody><tr><th scope=""col"">Price</th><th scope=""col"">Quantity of Notebooks Supplied</th><th scope=""col"">Quantity of Notebooks Demanded</th></tr><tr><td>$1.00</td><td align=""center"">100 units</td><td align=""center"">100 units</td></tr><tr><td>$2.00</td><td align=""center"">125 units</td><td align=""center"">75 units</td></tr><tr><td>$3.00</td><td align=""center"">150 units</td><td align=""center"">50 units</td></tr><tr><td>$4.00</td><td align=""center"">175 units</td><td align=""center"">25 units</td></tr></tbody></table></div><div class=""paragraph"">According to the table above, what is the equilibrium price of notebooks?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>$1.00</span></span></div>
<div>B. <span class=""itemtext""><span>$2.00</span></span></div>
<div>C. <span class=""itemtext""><span>$3.00</span></span></div>
<div>D. <span class=""itemtext""><span>$4.00</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #6 E407701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Consumers and producers</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. In a market economy, most decisions about which goods and services to produce, how to produce them, and who will consume them are made primarily by which of the following?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The national government</span></span></div>
<div>B. <span class=""itemtext""><span>Industry planning groups</span></span></div>
<div>C. <span class=""itemtext""><span>Local and state governments</span></span></div>
<div>D. <span class=""itemtext""><span>Consumers and producers</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #15 E408601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Janet's income will be greater than the classmate's income now but will be lower in the future.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. Janet decides to drop out of college to work full-time. What is most likely to happen to Janet's income relative to that of a classmate who stays and graduates from college?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Janet's income will be greater than the classmate's income now and in the future.</span></span></div>
<div>B. <span class=""itemtext""><span>Janet's income will be greater than the classmate's income now but will be lower in the future.</span></span></div>
<div>C. <span class=""itemtext""><span>Janet's income will be lower than the classmate's income both now and in the future.</span></span></div>
<div>D. <span class=""itemtext""><span>Janet's income will be lower than the classmate's income now but will be greater in the future.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #16 E408701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Job training</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>6. Of the following, which is the most important factor in improving a country's human capital?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Job training</span></span></div>
<div>B. <span class=""itemtext""><span>Computer technology</span></span></div>
<div>C. <span class=""itemtext""><span>Factory machinery</span></span></div>
<div>D. <span class=""itemtext""><span>Highway construction</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #18 E408901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Granting property rights</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>7. Which of the following economic roles does a government play when it provides copyright protection for recorded music?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Granting property rights</span></span></div>
<div>B. <span class=""itemtext""><span>Preventing monopoly</span></span></div>
<div>C. <span class=""itemtext""><span>Setting fiscal policy</span></span></div>
<div>D. <span class=""itemtext""><span>Providing public goods</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #1 E414901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The opportunity cost of making the product in the United States has increased.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. Which of the following best explains why a product once manufactured in the United States is no longer made here and is now imported from other countries?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The technology needed to make the product has become less expensive in the United States.</span></span></div>
<div>B. <span class=""itemtext""><span>The technology needed to make the product has become more expensive in other countries.</span></span></div>
<div>C. <span class=""itemtext""><span>The opportunity cost of making the product in other countries has increased.</span></span></div>
<div>D. <span class=""itemtext""><span>The opportunity cost of making the product in the United States has increased.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #2 E415001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The demand for sweet potatoes will increase, and the price of sweet potatoes will rise.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>9. Assume that an influential new study shows that eating sweet potatoes reduces the risk of heart attacks. Which of the following is most likely to be the initial effect of the study on the sweet-potato market?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The supply of sweet potatoes will increase, and the price of sweet potatoes will rise.</span></span></div>
<div>B. <span class=""itemtext""><span>The supply of sweet potatoes will decrease, and the price of sweet potatoes will fall.</span></span></div>
<div>C. <span class=""itemtext""><span>The demand for sweet potatoes will decrease, and the price of sweet potatoes will fall.</span></span></div>
<div>D. <span class=""itemtext""><span>The demand for sweet potatoes will increase, and the price of sweet potatoes will rise.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #5 E415301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Deficit</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. <div class=""paragraph""><div class=""stdaln_stmt"">FEDERAL BUDGET INFORMATION (in billions of dollars)<div class=""paragraph""></div></div><table class="" tbl_brdrs""><tbody><tr><th align=""center"" scope=""col"">REVENUES</th><th></th></tr><tr><th scope=""row"">Personal income taxes</th><td>$300</td></tr><tr><th scope=""row"">Corporate income taxes</th><td>$100</td></tr></tbody></table><div class=""paragraph""></div><table class="" tbl_brdrs""><tbody><tr><th align=""center"" scope=""col"">EXPENDITURES</th><th></th></tr><tr><th scope=""row"">Defense spending</th><td>$100</td></tr><tr><th scope=""row"">Nondefense spending</th><td>$325</td></tr></tbody></table></div><br>The table above shows hypothetical federal government revenues and expenditures for a single year. Which of the following terms best describes the status of this federal budget?</br></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Surplus</span></span></div>
<div>B. <span class=""itemtext""><span>Deficit</span></span></div>
<div>C. <span class=""itemtext""><span>Balanced</span></span></div>
<div>D. <span class=""itemtext""><span>Static</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #12 E416001</span></div></div>"
