answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>From year 1 to year 2, Country B's comparative advantage shifts from rice to wheat.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph""><div class=""stdaln_stmt"">OUTPUT OF RICE AND WHEAT PER ACRE (in bushels)<br><br>                  YEAR 1                                      YEAR 2</br></br></div><table class="" tbl_brdrs""><tbody><tr><th></th><th scope=""col"">Rice</th><th scope=""col"">Wheat</th><td></td><th></th><th scope=""col"">Rice</th><th scope=""col"">Wheat</th></tr><tr><th scope=""row"">Country A</th><td align=""center"">100</td><td align=""center"">100</td><td></td><th scope=""row"">Country A</th><td align=""center"">60</td><td align=""center"">30</td></tr><tr><th scope=""row"">Country B</th><td align=""center"">80</td><td align=""center"">40</td><td></td><th scope=""row"">Country B</th><td align=""center"">40</td><td align=""center"">40</td></tr></tbody></table></div><br>The tables above show the amounts of rice and wheat (in bushels per acre) that Country A and Country B can produce each year over a two-year period. Which of the following statements about comparative advantage is correct?</br></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>In both years, Country A has a comparative advantage in wheat.</span></span></div>
<div>B. <span class=""itemtext""><span>In both years, Country A has a comparative advantage in rice.</span></span></div>
<div>C. <span class=""itemtext""><span>From year 1 to year 2, Country B's comparative advantage shifts from wheat to rice.</span></span></div>
<div>D. <span class=""itemtext""><span>From year 1 to year 2, Country B's comparative advantage shifts from rice to wheat.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #7 E407801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The activity she could do if she stopped watching the movie</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. After watching part of a movie she rented, Samantha finds that it is not as good as she expected. Which of the following should she consider in deciding whether to continue watching the movie?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The price she paid to rent the movie</span></span></div>
<div>B. <span class=""itemtext""><span>The amount of time she already spent watching the movie</span></span></div>
<div>C. <span class=""itemtext""><span>The activity she could do if she stopped watching the movie</span></span></div>
<div>D. <span class=""itemtext""><span>The time it would take to return the movie</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #12 E408301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Increase interest rates</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. Which of the following actions can the Federal Reserve take to reduce inflationary pressures in the United States?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Increase government spending</span></span></div>
<div>B. <span class=""itemtext""><span>Increase the money supply</span></span></div>
<div>C. <span class=""itemtext""><span>Increase interest rates</span></span></div>
<div>D. <span class=""itemtext""><span>Increase taxes</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #14 E408501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The tariff should be increased to increase United States cattle prices.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. A United States senator relies on the political support of cattle ranchers. Which position on a United States tariff on imported beef is most likely to increase the senator's support among cattle ranchers?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The tariff should be decreased to increase United States cattle prices.</span></span></div>
<div>B. <span class=""itemtext""><span>The tariff should be decreased to decrease United States cattle prices.</span></span></div>
<div>C. <span class=""itemtext""><span>The tariff should be increased to increase United States cattle prices.</span></span></div>
<div>D. <span class=""itemtext""><span>The tariff should be increased to decrease United States cattle prices.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #3 E415101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Inflation will decrease and unemployment will increase.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. Which of the following is the most likely effect of a large decrease in total demand for goods and services?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Inflation will increase and unemployment will decrease.</span></span></div>
<div>B. <span class=""itemtext""><span>Inflation will decrease and unemployment will decrease.</span></span></div>
<div>C. <span class=""itemtext""><span>Inflation will decrease and unemployment will increase.</span></span></div>
<div>D. <span class=""itemtext""><span>Inflation will increase and unemployment will increase.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #6 E415401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Interest rates will decrease.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>6. What is most likely to happen following a decrease in demand for consumer loans?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Interest rates will increase.</span></span></div>
<div>B. <span class=""itemtext""><span>Interest rates will decrease.</span></span></div>
<div>C. <span class=""itemtext""><span>Federal government spending will decrease.</span></span></div>
<div>D. <span class=""itemtext""><span>Federal government spending will increase.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #8 E415601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Consumer price index</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>7. Which of the following is the most commonly used measure of inflation?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Gross domestic product</span></span></div>
<div>B. <span class=""itemtext""><span>Index of Leading Economic Indicators</span></span></div>
<div>C. <span class=""itemtext""><span>Consumer price index</span></span></div>
<div>D. <span class=""itemtext""><span>Dow Jones Industrial Average</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #5 E417301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>When the cost of the second center is expected to be less than the benefits from it</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. A city currently has one recreation center to serve its young people. To reduce crime, the city is considering building a second recreation center to provide more young people with healthy alternative activities.<div class=""paragraph"">According to economic reasoning, under what conditions should the city build a second center?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>If the second center is expected to be used more than half the time</span></span></div>
<div>B. <span class=""itemtext""><span>If the second center is expected to reduce the crime rate by 10%</span></span></div>
<div>C. <span class=""itemtext""><span>When the cost of the second center is expected to be less than the benefits from it</span></span></div>
<div>D. <span class=""itemtext""><span>When the total cost of both of the recreation centers is expected to be less than their total benefits</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #10 E417801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>A bank makes a loan to a business.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>9. Which of the following will increase the money supply in the United States?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The Federal Reserve raises the discount rate.</span></span></div>
<div>B. <span class=""itemtext""><span>A company sells shares of a new stock offering.</span></span></div>
<div>C. <span class=""itemtext""><span>A customer pays a monthly credit card bill.</span></span></div>
<div>D. <span class=""itemtext""><span>A bank makes a loan to a business.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #14 E418201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Personal income tax</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. <div class=""paragraph"">In the United States, which of the following forms of taxation currently represents the largest source of tax revenue for the federal government?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Property tax</span></span></div>
<div>B. <span class=""itemtext""><span>Sales tax</span></span></div>
<div>C. <span class=""itemtext""><span>Corporate income tax</span></span></div>
<div>D. <span class=""itemtext""><span>Personal income tax</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #1 E000001</span></div></div>"
