answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Decrease                    Increase</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph"">Suppose that the value of the Japanese yen declines relative to the United States dollar in foreign exchange markets. United States exports to Japan and United States imports from Japan are most likely to change in which of the following ways?</div><div class=""paragraph""></div><div class=""paragraph"">United States Exports       United States Imports<br>            <span class=""stressed_text_3"">to Japan</span>                         <span class=""stressed_text_3"">from Japan</span></br></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Increase                     Increase</span></span></div>
<div>B. <span class=""itemtext""><span>Increase                     Decrease</span></span></div>
<div>C. <span class=""itemtext""><span>Decrease                    Increase</span></span></div>
<div>D. <span class=""itemtext""><span>Decrease                    Decrease</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #3 E407401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Increasing the wage rate of nurses</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Image of a newspaper headline that states: National Shortage of Nurses Reported by United States Labor Department"" class=""inln_img"" height=""283px"" src=""./EconomicsMed_files/ItemResource"" title=""Image of a newspaper headline that states: National Shortage of Nurses Reported by United States Labor Department"" width=""562px""/></div></div><div class=""paragraph""> Which of the following would most likely <span class=""stressed_text_3"">reduce</span> the nursing shortage reported in the headline above? </div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Increasing the wage rate of nurses</span></span></div>
<div>B. <span class=""itemtext""><span>Opening additional hospitals in cities</span></span></div>
<div>C. <span class=""itemtext""><span>Decreasing the number of nursing school scholarships</span></span></div>
<div>D. <span class=""itemtext""><span>Raising the certification requirements for registered nurses</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #5 E407601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>An increase in the money supply</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. Which of the following is most likely to cause a drop in short-term interest rates?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>An increase in government spending</span></span></div>
<div>B. <span class=""itemtext""><span>An increase in the money supply</span></span></div>
<div>C. <span class=""itemtext""><span>An increase in bank reserve requirements</span></span></div>
<div>D. <span class=""itemtext""><span>An increase in the national debt</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #8 E407901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>United States consumers would pay higher prices for goods made with aluminum.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. Which of the following would most likely result if the United States Congress were to place a tariff on imports of aluminum?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>United States consumers would pay higher prices for goods made with aluminum.</span></span></div>
<div>B. <span class=""itemtext""><span>The tariff would increase the United States economy's growth rate by raising productivity rates.</span></span></div>
<div>C. <span class=""itemtext""><span>An increase in costs would cause United States producers of aluminum to decrease production.</span></span></div>
<div>D. <span class=""itemtext""><span>United States manufacturers that use aluminum to produce goods would benefit.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #10 E408101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Interest rates would rise because banks would find it riskier to lend funds.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. How would a large increase in the number of business and personal bankruptcies over several years tend to affect the interest rates that banks charge for loans?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Interest rates would fall because the supply of funds would decrease.</span></span></div>
<div>B. <span class=""itemtext""><span>Interest rates would rise because banks would find it riskier to lend funds.</span></span></div>
<div>C. <span class=""itemtext""><span>Interest rates would stay the same because banks are not affected by bankruptcies.</span></span></div>
<div>D. <span class=""itemtext""><span>The answer cannot be determined because the government sets interest rates that banks charge for loans.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #11 E408201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Gasoline has no close substitutes.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>6. Which of the following statements best explains why a large increase in the price of gasoline will result in only a small decrease in quantity demanded?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Gasoline is a luxury good.</span></span></div>
<div>B. <span class=""itemtext""><span>Gasoline takes a large portion of consumers' budgets.</span></span></div>
<div>C. <span class=""itemtext""><span>Gasoline has no close substitutes.</span></span></div>
<div>D. <span class=""itemtext""><span>Gasoline taxes remain high.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #17 E408801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Income taxes</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>7. The federal government receives the greatest amount of tax revenue from which of the following sources?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Estate taxes</span></span></div>
<div>B. <span class=""itemtext""><span>Property taxes</span></span></div>
<div>C. <span class=""itemtext""><span>Sales taxes</span></span></div>
<div>D. <span class=""itemtext""><span>Income taxes</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #19 E409001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>By buying more cotton fabric to make more T-shirts</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. As the demand for T-shirts increases and the price of T-shirts rises, how will T-shirt producers in a competitive market most likely respond?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>By laying off T-shirt workers to reduce production costs</span></span></div>
<div>B. <span class=""itemtext""><span>By making fewer T-shirts to meet their income goals</span></span></div>
<div>C. <span class=""itemtext""><span>By buying more cotton fabric to make more T-shirts</span></span></div>
<div>D. <span class=""itemtext""><span>By increasing advertising spending to increase T-shirt sales</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #20 E409101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Opportunity cost</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>9. Rashad wants to buy a video game and a new shirt. Each item costs $40. Rashad has only $40 to spend. He decides to buy the new shirt instead of the video game. The video game represents which of the following?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Opportunity cost</span></span></div>
<div>B. <span class=""itemtext""><span>Equilibrium price</span></span></div>
<div>C. <span class=""itemtext""><span>Economic efficiency</span></span></div>
<div>D. <span class=""itemtext""><span>Comparative advantage</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E5 #21 E409201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Eliminating tax advantages for homeowners on federal income taxes</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. Which of the following is most likely to reduce the number of people who own their own homes?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Removing controls on rent so that apartment rents can rise</span></span></div>
<div>B. <span class=""itemtext""><span>Increasing the property tax rates on rental property</span></span></div>
<div>C. <span class=""itemtext""><span>Eliminating tax advantages for homeowners on federal income taxes</span></span></div>
<div>D. <span class=""itemtext""><span>Offering a discount on homeowners insurance expenses for first-time buyers</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #7 E415501</span></div></div>"
