answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>emigration</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph"">When people leave the country where they were born to live in another country, it is called</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>location</span></span></div>
<div>B. <span class=""itemtext""><span>transportation</span></span></div>
<div>C. <span class=""itemtext""><span>emigration</span></span></div>
<div>D. <span class=""itemtext""><span>communication</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G3 #3 G028001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>farming</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. <div class=""paragraph"">The most common use of land in the Great Plains region of the United States is for</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>fishing</span></span></div>
<div>B. <span class=""itemtext""><span>farming</span></span></div>
<div>C. <span class=""itemtext""><span>mining</span></span></div>
<div>D. <span class=""itemtext""><span>recreation</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G3 #6 G028301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>The intersection of Oak Street, Green Street, and West Avenue</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the map below.<div class=""stdaln_img""><img alt=""Drawing of a simple map labeled 'Town of Rockfield.' A grid of streets is shown as are numerous landmarks, including Rockfield Park, the town hall, post office, school, and train station. Also labeled are sidewalks, railroad tracks, crosswalks, and traffic lights. A compass is also included. The scale is 1 inch equals 1/2 mile."" class=""inln_img"" height=""613"" src=""./GeoGraphyMed_files/ItemResource"" title=""Drawing of a simple map labeled 'Town of Rockfield.' A grid of streets is shown as are numerous landmarks, including Rockfield Park, the town hall, post office, school, and train station. Also labeled are sidewalks, railroad tracks, crosswalks, and traffic lights. A compass is also included. The scale is 1 inch equals 1/2 mile."" width=""537""/></div></div><br>3. <div class=""paragraph"">At the Rockfield town meeting, the mayor tells the people that there is money in the town budget to put up one more traffic light. There is the same amount of traffic on all streets in town. Where is the traffic light needed most?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The intersection of South Street and West Avenue</span></span></div>
<div>B. <span class=""itemtext""><span>The intersection of Oak Street, Green Street, and West Avenue</span></span></div>
<div>C. <span class=""itemtext""><span>The intersection of Mill Street and Green Street</span></span></div>
<div>D. <span class=""itemtext""><span>The intersection of South Street and Maple Avenue</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G3 #9 G028601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>They are where the state government is located.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. <div class=""paragraph"">Which of the following best describes state capitals?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They are important business and manufacturing centers.</span></span></div>
<div>B. <span class=""itemtext""><span>They are the oldest cities in their states.</span></span></div>
<div>C. <span class=""itemtext""><span>They are where the state government is located.</span></span></div>
<div>D. <span class=""itemtext""><span>They are the biggest cities in their states.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G3 #11 G028801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>it is easier for people from around the state to reach a central location</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph""><div class=""stdaln_img""><img alt=""Map showing the 50 states of the United States of America; each state's capital is indicated with a large dot."" class=""inln_img"" height=""481"" src=""./GeoGraphyMed_files/ItemResource(1)"" title=""Map showing the 50 states of the United States of America; each state's capital is indicated with a large dot."" width=""602""/></div></div><br>5. <div class=""paragraph"">Look at the map above of state capitals in the United States. Capitals are often located near the center of the state because</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>most businesses are located near the center of the state</span></span></div>
<div>B. <span class=""itemtext""><span>most states are flatter near the center and more mountainous near the borders</span></span></div>
<div>C. <span class=""itemtext""><span>the climate is usually milder near the center of the state</span></span></div>
<div>D. <span class=""itemtext""><span>it is easier for people from around the state to reach a central location</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G3 #12 G028901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The Rio Grande</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question is based on the map below.          <div class=""stdaln_img""><img alt=""Large map showing the United States and Canada. Lines of latitude and longitude are indicated. The letter 'A' is marked near the Tropic of Cancer; the letter 'B' is marked on the border between Texas and Mexico; and the letter 'C' is marked in the body of water off the coast of Texas and Louisiana."" class=""inln_img"" height=""394"" src=""./GeoGraphyMed_files/ItemResource(2)"" title=""Large map showing the United States and Canada. Lines of latitude and longitude are indicated. The letter 'A' is marked near the Tropic of Cancer; the letter 'B' is marked on the border between Texas and Mexico; and the letter 'C' is marked in the body of water off the coast of Texas and Louisiana."" width=""589""/></div></div><br>6. <div class=""paragraph"">Letter B is on which river?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The Mississippi</span></span></div>
<div>B. <span class=""itemtext""><span>The Hudson</span></span></div>
<div>C. <span class=""itemtext""><span>The Ohio</span></span></div>
<div>D. <span class=""itemtext""><span>The Rio Grande</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G5 #2 G009102</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>the Gulf of Mexico</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question is based on the map below.          <div class=""stdaln_img""><img alt=""Large map showing the United States and Canada. Lines of latitude and longitude are indicated. The letter 'A' is marked near the Tropic of Cancer; the letter 'B' is marked on the border between Texas and Mexico; and the letter 'C' is marked in the body of water off the coast of Texas and Louisiana."" class=""inln_img"" height=""394"" src=""./GeoGraphyMed_files/ItemResource(2)"" title=""Large map showing the United States and Canada. Lines of latitude and longitude are indicated. The letter 'A' is marked near the Tropic of Cancer; the letter 'B' is marked on the border between Texas and Mexico; and the letter 'C' is marked in the body of water off the coast of Texas and Louisiana."" width=""589""/></div></div><br>7. <div class=""paragraph"">Letter C is in</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>the Gulf of Mexico</span></span></div>
<div>B. <span class=""itemtext""><span>Hudson Bay</span></span></div>
<div>C. <span class=""itemtext""><span>the Pacific Ocean</span></span></div>
<div>D. <span class=""itemtext""><span>Lake Superior</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G5 #3 G009103</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>because of its climate the United States can grow some crops but not others</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. <div class=""paragraph"">The United States sells wheat to other countries and buys coffee from other countries. One reason for this could be that</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>because of its climate the United States can grow some crops but not others</span></span></div>
<div>B. <span class=""itemtext""><span>the United States cannot grow enough food for its own people</span></span></div>
<div>C. <span class=""itemtext""><span>people in the United States like coffee better than wheat</span></span></div>
<div>D. <span class=""itemtext""><span>wheat is more expensive than coffee</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G5 #5 G009301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Map B</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question is based on maps A, B, C, and D below.          <div class=""stdaln_img""><img alt=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" class=""inln_img"" height=""394"" src=""./GeoGraphyMed_files/ItemResource(3)"" title=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" width=""551""/></div><div class=""stdaln_img""><img alt=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" class=""inln_img"" height=""390"" src=""./GeoGraphyMed_files/ItemResource(4)"" title=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" width=""554""/></div><div class=""stdaln_img""><img alt=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" class=""inln_img"" height=""394"" src=""./GeoGraphyMed_files/ItemResource(5)"" title=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" width=""552""/></div><div class=""stdaln_img""><img alt=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" class=""inln_img"" height=""394"" src=""./GeoGraphyMed_files/ItemResource(6)"" title=""Series of maps of Latin America. Map A shows major cities and highways; Map B lists the elevation in meters of the areas; Map C lists features of the land  areas (highland, tropical wet and dry, etc), and Map D shows locations of natural resources (oil fields, coal fields, etc.)."" width=""554""/></div></div><br>9. <div class=""paragraph"">Look at the maps above. Which map shows you the height of the mountain ranges in Mexico?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Map A</span></span></div>
<div>B. <span class=""itemtext""><span>Map B</span></span></div>
<div>C. <span class=""itemtext""><span>Map C</span></span></div>
<div>D. <span class=""itemtext""><span>Map D</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G5 #10 G009502</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>North America<br>     United States<br>     California<br>     Los Angeles<div class=""paragraph""></div></br></br></br></span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. <div class=""paragraph"" style=""padding-left:40px"">Look at the four groups of place names below. Which group is arranged in order of size from largest to smallest?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>United States<br>     California<br>     North America<br>     Los Angeles<div class=""paragraph""></div></br></br></br></span></span></div>
<div>B. <span class=""itemtext""><span>North America<br>     United States<br>     California<br>     Los Angeles<div class=""paragraph""></div></br></br></br></span></span></div>
<div>C. <span class=""itemtext""><span>North America<br>     California<br>     United States<br>     Los Angeles<div class=""paragraph""></div></br></br></br></span></span></div>
<div>D. <span class=""itemtext""><span>United States<br>     North America<br>     Los Angeles<br>     California<div class=""paragraph""></div></br></br></br></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4G5 #15 G010001</span></div></div>"
