answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>European traders were hoping to find cheaper and shorter routes.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the map below.          <div class=""stdaln_img""><img alt=""Map showing an overland trade route starting in Italy and going east through Asia to China."" class=""inln_img"" height=""306"" src=""./HistMed_files/ItemResource"" title=""Map showing an overland trade route starting in Italy and going east through Asia to China."" width=""602""/></div></div><br>1. <div class=""paragraph"">The dotted lines on the map above show some of the main trade routes between Europe and Asia in the time before Christopher Columbus.</div><div class=""paragraph"">What is one reason why Europeans looked for new trade routes across the oceans?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Goods made in the Americas were believed to be cheaper and better made.</span></span></div>
<div>B. <span class=""itemtext""><span>Asians no longer needed any of the products that Europeans wanted to trade.</span></span></div>
<div>C. <span class=""itemtext""><span>European traders were hoping to find cheaper and shorter routes.</span></span></div>
<div>D. <span class=""itemtext""><span>European Kings and Queens no longer allowed trade along the old routes.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H3 #1 H065501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>To escape bad treatment because of their religion</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. <div class=""paragraph"">Which of the following is the main reason the Pilgrims wanted to leave England?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>To escape bad treatment because of their religion</span></span></div>
<div>B. <span class=""itemtext""><span>To find good land for their farms and towns</span></span></div>
<div>C. <span class=""itemtext""><span>To trade with Native Americans</span></span></div>
<div>D. <span class=""itemtext""><span>To start a new country</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H3 #5 H065901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>They kept the farms and shops running during the war.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. <div class=""paragraph"">What role did many colonial women play during the American Revolution?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They served as officers in the army.</span></span></div>
<div>B. <span class=""itemtext""><span>They gave speeches to rally the people against the British.</span></span></div>
<div>C. <span class=""itemtext""><span>They kept the farms and shops running during the war.</span></span></div>
<div>D. <span class=""itemtext""><span>They helped to run the government while the men were away fighting.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H3 #8 H066201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>To get information about lands so settlers could move there</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question is based on the map below.          <div class=""stdaln_img""><img alt=""Map of the United States showing route to the northwest taken by Lewis and Clark in 1804."" class=""inln_img"" height=""507"" src=""./HistMed_files/ItemResource(1)"" title=""Map of the United States showing route to the northwest taken by Lewis and Clark in 1804."" width=""570""/></div></div><br>4. <div class=""paragraph"">Look at the route taken by Lewis and Clark in 1804. Why did President Thomas Jefferson send Lewis and Clark to explore the route shown on the map?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>To spy on British and French soldiers posted in the West</span></span></div>
<div>B. <span class=""itemtext""><span>To find fertile lands for Indian reservations</span></span></div>
<div>C. <span class=""itemtext""><span>To get information about lands so settlers could move there</span></span></div>
<div>D. <span class=""itemtext""><span>To look for good places to mine gold in California</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H3 #9 H066301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Use your skills to help the United States.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. <div class=""paragraph""><div class=""blockq"">""My fellow Americans, ask not what your country can do for you, ask what you can do for your country.""<div class=""attrib"">—President John F. Kennedy, 1961</div></div></div><div class=""paragraph"">What do you think was the main message President Kennedy was trying to tell the American people in this speech?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Learn about the freedoms of citizens of the United States.</span></span></div>
<div>B. <span class=""itemtext""><span>Earn as much money as you can for your family.</span></span></div>
<div>C. <span class=""itemtext""><span>Use your skills to help the United States.</span></span></div>
<div>D. <span class=""itemtext""><span>Go to college so that you can get a good job.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H3 #12 H066601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>People in democratic countries should help people in other countries gain more rights and freedoms.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the quotation below.          <div class=""paragraph"">Aung San Suu Kyi lives in a country called Myanmar (Burma). She has spent many years trying to change her country's government. She spoke the words below in 1996.</div><div class=""blockq"">""Those fortunate enough to live in societies where they are entitled to full political rights can reach out to help the less fortunate in other parts of our troubled planet. Young women and young men . . . might wish to cast their eyes beyond their own frontiers. . . . Please use your liberty to promote [help] ours.""</div></div><br>6. <div class=""paragraph"" style=""padding-left:30px"">What was the main message Aung San Suu Kyi was sending to people in other countries?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>People in democratic countries should help people in other countries gain more rights and freedoms.</span></span></div>
<div>B. <span class=""itemtext""><span>People in democratic countries should work harder to protect their own rights and freedoms.</span></span></div>
<div>C. <span class=""itemtext""><span>A country's government should respect the opinions of people in other countries.</span></span></div>
<div>D. <span class=""itemtext""><span>A country's government should be elected by the majority of people in that country.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H3 #14 H066801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The Bill of Rights</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the quotation below.          <div class=""paragraph"">Aung San Suu Kyi lives in a country called Myanmar (Burma). She has spent many years trying to change her country's government. She spoke the words below in 1996.</div><div class=""blockq"">""Those fortunate enough to live in societies where they are entitled to full political rights can reach out to help the less fortunate in other parts of our troubled planet. Young women and young men . . . might wish to cast their eyes beyond their own frontiers. . . . Please use your liberty to promote [help] ours.""</div></div><br>7. <div class=""paragraph"" style=""padding-left:30px"">What document helps to give Americans what Aung San Suu Kyi wants her people to have?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The Mayflower Compact</span></span></div>
<div>B. <span class=""itemtext""><span>The Gettysburg Address</span></span></div>
<div>C. <span class=""itemtext""><span>The Star-Spangled Banner</span></span></div>
<div>D. <span class=""itemtext""><span>The Bill of Rights</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H3 #15 H066901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Canals were used to link major waterways like lakes and rivers.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question deals with the map below. The map shows canals in the United States in the 1800's.          <div class=""stdaln_img""><img alt=""Map of the United States in the 1800's showing four of the Great Lakes, several cities and rivers, and eight canals."" class=""inln_img"" height=""388"" src=""./HistMed_files/ItemResource(2)"" title=""Map of the United States in the 1800's showing four of the Great Lakes, several cities and rivers, and eight canals."" width=""509""/></div></div><br>8. <div class=""paragraph"">What can you tell from the map?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Canals were used to link major waterways like lakes and rivers.</span></span></div>
<div>B. <span class=""itemtext""><span>Canals were used to link lakes and rivers to main railroad lines.</span></span></div>
<div>C. <span class=""itemtext""><span>There were more canals in the South than in the North.</span></span></div>
<div>D. <span class=""itemtext""><span>Pennsylvania and New York had no canals.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H4 #10 H055001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>trade increased among the states</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question deals with the map below. The map shows canals in the United States in the 1800's.          <div class=""stdaln_img""><img alt=""Map of the United States in the 1800's showing four of the Great Lakes, several cities and rivers, and eight canals."" class=""inln_img"" height=""388"" src=""./HistMed_files/ItemResource(2)"" title=""Map of the United States in the 1800's showing four of the Great Lakes, several cities and rivers, and eight canals."" width=""509""/></div></div><br>9. <div class=""paragraph"">An important result of the building of canals in the United States was that</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>slavery spread to the western states</span></span></div>
<div>B. <span class=""itemtext""><span>people stopped building railroads</span></span></div>
<div>C. <span class=""itemtext""><span>more people traveled to California to farm</span></span></div>
<div>D. <span class=""itemtext""><span>trade increased among the states</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H4 #11 H055101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>the river supplied power to run the machines in the mill</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the drawing below.<div class=""paragraph"" style=""text-align:center""><div class=""stdaln_img""><img alt=""Drawing of a textile (cloth) mill from 1830."" class=""inln_img"" height=""606"" src=""./HistMed_files/ItemResource(3)"" title=""Drawing of a textile (cloth) mill from 1830."" width=""721""/></div></div></div><br>10. <div class=""paragraph"">Look at this drawing of a textile (cloth) mill from 1830. The main reason that the textile mill was located next to a river was that</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>the river supplied power to run the machines in the mill</span></span></div>
<div>B. <span class=""itemtext""><span>the river provided a convenient source of drinking water</span></span></div>
<div>C. <span class=""itemtext""><span>the water was needed to grow the cotton used in the mill</span></span></div>
<div>D. <span class=""itemtext""><span>most people who worked at the mill lived along the river</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2010-4H4 #12 H055201</span></div></div>"
